Country/Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region_x,Recovered_clean,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y,recovery_rate
Netherlands,2020-07-27,53413,6160,189,47064,419,1,0,Europe,0,Europe,17138756.0,56982.0,,6153.0,,,,,37.0,3325.0,359.0,1079860.0,63007.0,Europe,0.0035384644187744555
New Zealand,2020-07-27,1557,22,1514,21,1,0,1,Western Pacific,1514,Australia/Oceania,5002100.0,1569.0,,22.0,,1524.0,,23.0,,314.0,4.0,486943.0,97348.0,WesternPacific,0.9723827874116892
Nicaragua,2020-07-27,3439,108,2492,839,0,0,0,Americas,2492,North America,6632263.0,3902.0,,123.0,,2913.0,,866.0,,588.0,19.0,,,Americas,0.7246292526897354
Niger,2020-07-27,1132,69,1027,36,0,0,0,Africa,1027,Africa,24281433.0,1153.0,,69.0,,1057.0,,27.0,,47.0,3.0,9052.0,373.0,Africa,0.907243816254417
Nigeria,2020-07-27,41180,860,18203,22117,648,2,829,Africa,18203,Africa,206606300.0,45244.0,,930.0,,32430.0,,11884.0,7.0,219.0,5.0,306894.0,1485.0,Africa,0.4420349684312773
North Macedonia,2020-07-27,10213,466,5564,4183,127,6,137,Europe,5564,Europe,2083365.0,11399.0,,517.0,,7480.0,,3402.0,3.0,5471.0,248.0,109946.0,52773.0,Europe,0.5447958484284735
Norway,2020-07-27,9132,255,8752,125,15,0,0,Europe,8752,Europe,5425471.0,9468.0,,256.0,,8857.0,,355.0,3.0,1745.0,47.0,472841.0,87152.0,Europe,0.9583880858519492
Oman,2020-07-27,77058,393,57028,19637,1053,9,1729,Eastern Mediterranean,57028,Asia,5118446.0,80713.0,,492.0,,70910.0,,9311.0,177.0,15769.0,96.0,309212.0,60411.0,EasternMediterranean,0.7400659243686574
Pakistan,2020-07-27,274289,5842,241026,27421,1176,20,3592,Eastern Mediterranean,241026,Asia,221295851.0,281863.0,,6035.0,,256058.0,,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean,0.8787300985456945
Panama,2020-07-27,61442,1322,35086,25034,1146,28,955,Americas,35086,North America,4321282.0,71418.0,,1574.0,,45658.0,,24186.0,161.0,16527.0,364.0,240995.0,55769.0,Americas,0.5710426092900621
Papua New Guinea,2020-07-27,62,0,11,51,0,0,0,Western Pacific,11,Australia/Oceania,8963009.0,163.0,,3.0,,53.0,,107.0,,18.0,0.3,10808.0,1206.0,WesternPacific,0.1774193548387097
